stage,metric,short_name,checkpoint,mean,std,n,definition,next_step
1,Direct-position suppression,Suppression at first output position,Base,3.106290896733602,0.6195952695539796,60,Change in forbidden-action log probability at the first assistant generation position.,Move scoring to the action-output position used by the fine-tuning format.
1,Direct-position suppression,Suppression at first output position,LoRA-v2,0.16518727938334146,2.9019594299092435,60,Change in forbidden-action log probability at the first assistant generation position.,Move scoring to the action-output position used by the fine-tuning format.
2,Post-prefix suppression,Suppression after response prefix,Base,0.17926629384358714,0.9618960947525427,60,Forbidden-action suppression measured after the response prefix immediately before the final action.,Measure preference transfer toward a legal action rather than only the forbidden action.
2,Post-prefix suppression,Suppression after response prefix,LoRA-v2,0.04943042993545531,0.9526458866386385,60,Forbidden-action suppression measured after the response prefix immediately before the final action.,Measure preference transfer toward a legal action rather than only the forbidden action.
3,Fixed-alternative delta margin,Fixed legal alternative,Base,1.368484894434611,1.5352080725777089,60,Constraint-induced change in the allowed-versus-forbidden log-probability margin.,Allow the model's highest-probability legal alternative to define the replacement action.
3,Fixed-alternative delta margin,Fixed legal alternative,LoRA-v2,5.954524417718251,2.258004767746636,60,Constraint-induced change in the allowed-versus-forbidden log-probability margin.,Allow the model's highest-probability legal alternative to define the replacement action.
4,Best-alternative delta margin,Best legal alternative,Base,1.390710671742757,1.3788928165793712,60,Constraint-induced change between the forbidden action and the model's most probable legal alternative.,Selected as the behavior metric for causal head scans.
4,Best-alternative delta margin,Best legal alternative,LoRA-v2,4.371394852797191,0.7660927653396071,60,Constraint-induced change between the forbidden action and the model's most probable legal alternative.,Selected as the behavior metric for causal head scans.
