layer,head,head_id,orig_lora,ablated_lora,ce_lora,source_csv_lora,orig_base,ablated_base,ce_base,source_csv_base,delta_ce,layer_bin
6,2,6-2,4.371394852797191,5.068908512592316,-0.697513659795125,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_0_6\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,1.5160338878631592,-0.1253232161204021,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_0_6\head_scan_Qwen2___5-7B_base.csv,-0.5721904436747229,0-6
16,24,16-24,4.371394852797191,4.933489094177882,-0.5620942413806915,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_14_20\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,1.3793797492980957,0.0113309224446613,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_14_20\head_scan_Qwen2___5-7B_base.csv,-0.5734251638253528,14-20
7,21,7-21,4.371394852797191,5.111713856458664,-0.7403190036614733,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_7_13\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,1.545568625132243,-0.1548579533894858,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_7_13\head_scan_Qwen2___5-7B_base.csv,-0.5854610502719875,7-13
14,15,14-15,4.371394852797191,5.137568414211273,-0.7661735614140825,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_14_20\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,1.5707489649454751,-0.1800382932027182,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_14_20\head_scan_Qwen2___5-7B_base.csv,-0.5861352682113643,14-20
10,18,10-18,4.371394852797191,4.921665529410045,-0.550270676612854,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_7_13\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,1.354098955790202,0.0366117159525551,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_7_13\head_scan_Qwen2___5-7B_base.csv,-0.5868823925654091,7-13
4,4,4-4,4.371394852797191,4.942935923735301,-0.5715410709381104,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_0_6\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,1.367644230524699,0.0230664412180581,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_0_6\head_scan_Qwen2___5-7B_base.csv,-0.5946075121561685,0-6
1,13,1-13,4.371394852797191,4.295075058937073,0.0763197938601178,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_0_6\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,0.7145066261291504,0.6762040456136067,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_0_6\head_scan_Qwen2___5-7B_base.csv,-0.5998842517534889,0-6
15,3,15-3,4.371394852797191,4.931078682343165,-0.5596838295459747,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_14_20\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,1.3444329897562664,0.0462776819864907,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_14_20\head_scan_Qwen2___5-7B_base.csv,-0.6059615115324655,14-20
10,19,10-19,4.371394852797191,5.130828301111857,-0.7594334483146667,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_7_13\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,1.5374902089436848,-0.1467795372009277,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_7_13\head_scan_Qwen2___5-7B_base.csv,-0.612653911113739,7-13
18,21,18-21,4.371394852797191,4.856878280639648,-0.4854834278424578,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_14_20\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,1.2611838976542156,0.1295267740885415,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_14_20\head_scan_Qwen2___5-7B_base.csv,-0.6150102019309993,14-20
17,21,17-21,4.371394852797191,4.804706076780955,-0.4333112239837646,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_14_20\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,1.2073119481404622,0.1833987236022949,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_14_20\head_scan_Qwen2___5-7B_base.csv,-0.6167099475860595,14-20
7,8,7-8,4.371394852797191,4.897770802179973,-0.526375949382782,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_7_13\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,1.2859257062276204,0.1047849655151367,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_7_13\head_scan_Qwen2___5-7B_base.csv,-0.6311609148979187,7-13
