run,model,version,step,epoch,loss,learning_rate,source
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,420,0.06010733452593918,1.8557,1.9980925131139723e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,430,0.06153846153846154,1.792,2.045779685264664e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,440,0.0629695885509839,2.0263,2.0934668574153555e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,450,0.06440071556350627,1.8649,2.1411540295660468e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,460,0.06583184257602863,2.1248,2.1888412017167384e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,470,0.06726296958855098,1.9591,2.2365283738674297e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,480,0.06869409660107334,1.9475,2.284215546018121e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,490,0.0701252236135957,1.782,2.331902718168813e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,500,0.07155635062611806,1.8059,2.379589890319504e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,510,0.07298747763864043,1.8178,2.4272770624701957e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,520,0.07441860465116279,1.8113,2.474964234620887e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,530,0.07584973166368515,1.8595,2.5226514067715783e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,540,0.07728085867620751,1.9277,2.57033857892227e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,550,0.07871198568872988,1.7339,2.6180257510729618e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,560,0.08014311270125224,1.7967,2.6657129232236527e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,570,0.0815742397137746,1.8702,2.7134000953743443e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,580,0.08300536672629696,2.0265,2.761087267525036e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,590,0.08443649373881933,1.8196,2.8087744396757276e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,600,0.08586762075134168,1.7533,2.8564616118264188e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,610,0.08729874776386404,1.9868,2.9041487839771104e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,620,0.0887298747763864,1.7632,2.951835956127802e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,630,0.09016100178890876,1.9454,2.999523128278493e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,640,0.09159212880143112,1.8219,3.0472103004291846e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,650,0.09302325581395349,1.827,3.094897472579876e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,660,0.09445438282647585,1.8396,3.142584644730567e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,670,0.09588550983899821,1.8369,3.190271816881259e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,680,0.09731663685152057,1.9246,3.23795898903195e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,690,0.09874776386404294,1.7977,3.2856461611826426e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,700,0.1001788908765653,1.7523,3.3333333333333335e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,710,0.10161001788908766,1.897,3.381020505484025e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,720,0.10304114490161002,1.9737,3.428707677634717e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,730,0.10447227191413237,1.8574,3.4763948497854076e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,740,0.10590339892665473,1.9059,3.524082021936099e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,750,0.1073345259391771,1.9422,3.571769194086791e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,760,0.10876565295169946,1.9043,3.6194563662374824e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,770,0.11019677996422182,1.8565,3.6671435383881734e-05,final trainer_log.jsonl
