layer_bin,n_heads,mean_delta_ce,median_delta_ce,max_delta_ce,mean_ce_lora,mean_ce_base,n_delta_positive,n_delta_gt_1,top_delta_head,top_head_ce_lora,top_head_ce_base,top_head_delta_ce
0-6,196,0.1007371622384814,0.0042511423428854,7.062001605828604,0.2033907139078292,0.1026535516693477,99,8,0-22,7.700925727685293,0.6389241218566893,7.062001605828604
14-20,196,0.0384899742495855,0.0372567425171536,2.1010231773058576,0.0587007763991959,0.0202108021496103,107,12,20-21,2.178944806257884,0.0779216289520263,2.1010231773058576
21-27,196,0.0172145411777662,0.0089375178019207,0.6891501446564994,0.0094489820656325,-0.0077655591121336,103,0,22-1,0.6062193413575492,-0.0829308032989502,0.6891501446564994
7-13,196,0.0205641834914282,0.0346186856428787,2.046005100011826,0.0486396952551241,0.0280755117636958,106,7,11-22,2.1620877683162694,0.1160826683044433,2.046005100011826
