layer,head,head_id,orig_suppression_mean,ablated_suppression_mean,causal_effect,ablated_suppression_std,n
0,0,0-0,4.302223998308182,4.473485249280929,-0.1712612509727478,0.9443494232577088,20
0,1,0-1,4.302223998308182,1.1880735397338866,3.114150458574295,2.6193236511410043,20
0,2,0-2,4.302223998308182,4.264566957950592,0.0376570403575895,0.7308424820879957,20
0,3,0-3,4.302223998308182,2.427964413166046,1.8742595851421355,3.043183338731307,20
0,4,0-4,4.302223998308182,4.643503481149674,-0.3412794828414922,0.7659294052115375,20
0,5,0-5,4.302223998308182,4.757524514198304,-0.455300515890122,1.18088912638625,20
0,6,0-6,4.302223998308182,4.821629428863526,-0.5194054305553442,2.3422404763231985,20
0,7,0-7,4.302223998308182,5.052089405059815,-0.749865406751633,2.043215665564775,20
0,8,0-8,4.302223998308182,4.339480006694794,-0.0372560083866124,0.91858842260868,20
0,9,0-9,4.302223998308182,4.239297443628312,0.06292655467987,0.7579002396744425,20
